City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Hailun,CN,47.45,126.9333,77.31,81,100,9.98,moderate rain
104,Marysville,US,48.0518,-122.1771,80.19,68,1,3.0,clear sky
105,Sambava,MG,-14.2667,50.1667,68.09,87,100,15.35,light rain
106,Mersing,MY,2.4312,103.8405,89.51,70,40,8.05,moderate rain
107,Raudeberg,NO,61.9875,5.1352,59.2,89,18,6.02,few clouds
108,Baruun-Urt,MN,46.6806,113.2792,74.28,39,44,10.74,scattered clouds
109,Abu Kamal,SY,34.4506,40.9171,88.0,27,0,8.75,clear sky
110,Bredasdorp,ZA,-34.5322,20.0403,38.52,87,98,1.14,overcast clouds
111,Puerto Madryn,AR,-42.7692,-65.0385,45.99,49,100,15.35,overcast clouds
112,Aasiaat,GL,68.7098,-52.8699,38.12,94,96,7.63,overcast clouds
113,Quibdo,CO,5.6947,-76.6611,72.27,99,100,2.42,light rain
114,Dikson,RU,73.5069,80.5464,36.63,97,86,8.52,overcast clouds
115,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,81,75,5.75,broken clouds
116,Umm Lajj,SA,25.0213,37.2685,83.79,44,0,5.66,clear sky
117,Scarborough,GB,54.2797,-0.4044,60.84,88,100,7.16,overcast clouds
118,Qasigiannguit,GL,68.8193,-51.1922,43.05,95,100,5.17,overcast clouds
119,Hermanus,ZA,-34.4187,19.2345,49.89,50,100,6.08,overcast clouds
120,Flinders,AU,-34.5833,150.8552,58.37,45,4,11.99,clear sky
121,Mangrol,IN,21.1167,70.1167,81.05,87,100,22.5,overcast clouds
122,Korla,CN,41.7597,86.1469,91.56,22,0,18.84,clear sky
123,Arlit,NE,18.7369,7.3853,92.44,35,61,10.38,broken clouds
124,Tomatlan,MX,19.9333,-105.25,77.04,93,47,2.21,scattered clouds
125,Hithadhoo,MV,-0.6,73.0833,82.04,77,92,10.04,overcast clouds
126,Mbanza-Ngungu,CD,-5.25,14.8667,63.25,91,1,6.31,clear sky
127,Warwick,US,41.7001,-71.4162,69.4,90,75,6.91,broken clouds
128,Pemba,MZ,-12.974,40.5178,68.49,68,5,20.0,clear sky
129,Oranjemund,NA,-28.55,16.4333,61.56,21,99,17.22,overcast clouds
130,Puerto Ayacucho,VE,5.6639,-67.6236,73.71,94,100,2.75,overcast clouds
131,Saint-Philippe,RE,-21.3585,55.7679,64.22,74,38,7.14,scattered clouds
132,Mafra,BR,-26.1114,-49.8053,50.95,90,0,2.57,clear sky
133,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,83,40,15.93,scattered clouds
134,Ostrovnoy,RU,68.0531,39.5131,45.5,89,100,22.79,overcast clouds
135,Mount Gambier,AU,-37.8333,140.7667,48.11,100,75,9.22,broken clouds
136,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,51,75,13.8,broken clouds
137,Hirado,JP,33.3597,129.5531,88.95,64,97,1.61,overcast clouds
138,Acapulco,MX,16.8634,-99.8901,81.45,83,10,6.85,clear sky
139,Dakar,SN,14.6937,-17.4441,77.88,73,50,6.26,scattered clouds
140,Sampit,ID,-2.5333,112.95,87.24,50,61,4.45,broken clouds
141,Mahebourg,MU,-20.4081,57.7,70.09,78,40,11.5,scattered clouds
142,Kakamigahara,JP,35.4167,136.8667,94.78,51,25,4.41,scattered clouds
143,Provideniya,RU,64.3833,-173.3,47.77,98,100,11.95,light rain
144,Remedios,CU,22.4947,-79.5458,77.92,86,65,5.99,broken clouds
145,Nanortalik,GL,60.1432,-45.2371,42.31,96,97,9.37,overcast clouds
146,Tasiilaq,GL,65.6145,-37.6368,42.96,97,100,2.8,overcast clouds
147,Chuy,UY,-33.6971,-53.4616,57.0,81,100,5.77,overcast clouds
148,Ust-Omchug,RU,61.15,149.6333,59.9,76,100,12.93,overcast clouds
149,Meulaboh,ID,4.1363,96.1285,82.74,69,97,2.66,light rain
150,Port Elizabeth,ZA,-33.918,25.5701,43.09,70,0,5.75,clear sky
151,Xai-Xai,MZ,-25.0519,33.6442,59.18,77,5,5.23,clear sky
152,Yamnytsya,UA,48.9897,24.7075,58.78,87,18,3.18,few clouds
153,Nong Han,TH,17.3608,103.1053,84.02,88,100,10.71,overcast clouds
154,Porbandar,IN,21.6422,69.6093,82.38,89,75,12.66,drizzle
155,Carnarvon,AU,-24.8667,113.6333,68.07,53,90,10.36,overcast clouds
156,Poum,NC,-20.2333,164.0167,73.99,74,16,4.43,few clouds
157,Sinnamary,GF,5.3833,-52.95,77.23,88,98,9.42,moderate rain
158,Barrow,US,71.2906,-156.7887,44.62,81,90,4.61,overcast clouds
159,Coahuayana,MX,18.7333,-103.6833,79.7,91,67,2.15,broken clouds
160,Ponta Do Sol,PT,32.6667,-17.1,74.01,78,0,3.33,clear sky
161,Ankara,TR,39.9199,32.8543,63.64,63,0,1.99,clear sky
162,Kavieng,PG,-2.5744,150.7967,83.91,72,11,7.27,light rain
163,Asau,RO,46.4333,26.4,63.75,86,2,2.8,clear sky
164,Aktau,KZ,43.65,51.2,80.92,56,63,16.4,broken clouds
165,Morehead,US,37.2711,-87.1764,80.15,95,1,0.0,clear sky
166,Sorong,ID,-0.8833,131.25,84.49,59,100,11.79,overcast clouds
167,Myitkyina,MM,25.3833,97.4,76.44,98,100,2.04,overcast clouds
168,Horsham,GB,51.064,-0.3272,64.26,93,40,3.44,scattered clouds
169,San Patricio,US,28.017,-97.5169,84.29,77,2,12.15,clear sky
170,Nikolskoye,RU,59.7035,30.7861,59.81,55,100,5.46,overcast clouds
171,Goure,NE,13.9835,10.2704,79.02,76,22,10.6,few clouds
172,Beloha,MG,-25.1667,45.05,59.29,60,23,9.19,few clouds
173,Lakes Entrance,AU,-37.8811,147.981,54.18,42,33,20.42,scattered clouds
174,Providencia,MX,28.7167,-111.5833,80.65,52,100,11.12,overcast clouds
175,Purpe,RU,64.4803,76.6897,58.8,84,97,7.25,overcast clouds
176,Carauari,BR,-4.8828,-66.8958,74.35,90,52,2.19,broken clouds
177,Puerto Ayora,EC,-0.7393,-90.3518,72.55,88,5,8.01,clear sky
178,Faanui,PF,-16.4833,-151.75,78.75,68,13,10.83,few clouds
179,Necochea,AR,-38.5473,-58.7368,50.04,90,100,12.82,light rain
180,Qaqortoq,GL,60.7167,-46.0333,45.1,94,76,2.15,broken clouds
181,Namibe,AO,-15.1961,12.1522,66.97,52,0,5.12,clear sky
182,Laela,TZ,-8.5667,32.05,53.6,73,71,10.96,broken clouds
183,Nsanje,MW,-16.92,35.262,59.86,90,98,4.34,overcast clouds
184,Mombaca,BR,-5.7431,-39.6275,71.64,65,3,4.81,clear sky
185,Dingle,PH,10.9995,122.6711,86.52,68,82,18.48,broken clouds
186,Talcahuano,CL,-36.7167,-73.1167,53.28,82,90,24.16,light rain
187,Ambunti,PG,-4.2365,142.8448,76.69,95,100,1.59,overcast clouds
188,Coquimbo,CL,-29.9533,-71.3436,49.73,100,0,4.61,clear sky
189,Okhotsk,RU,59.3833,143.3,56.05,96,100,13.67,light rain
190,Takoradi,GH,4.8845,-1.7554,73.13,85,10,7.11,clear sky
191,Ulladulla,AU,-35.35,150.4667,56.3,42,2,19.53,clear sky
192,Taungdwingyi,MM,20.0167,95.55,83.8,71,100,10.87,overcast clouds
193,Dudinka,RU,69.4058,86.1778,46.96,89,100,7.58,light rain
194,Anori,BR,-3.7728,-61.6442,75.29,74,69,3.27,broken clouds
195,Koutsouras,GR,35.0339,25.9469,75.24,71,0,31.32,clear sky
196,Namatanai,PG,-3.6667,152.4333,85.26,68,9,2.26,clear sky
197,Wanning,CN,18.8003,110.3967,87.24,70,32,10.98,scattered clouds
198,Kruisfontein,ZA,-34.0033,24.7314,46.49,37,13,9.51,few clouds
199,Quatre Cocos,MU,-20.2078,57.7625,69.91,74,67,15.99,broken clouds
200,Turukhansk,RU,65.8167,87.9833,75.85,51,0,17.76,clear sky
201,Sayyan,YE,15.1718,44.3244,62.71,67,81,3.6,broken clouds
202,Loreto,MX,22.2667,-101.9667,66.13,65,100,5.79,overcast clouds
203,Angoche,MZ,-16.2325,39.9086,70.16,62,94,18.21,light rain
204,Kununurra,AU,-15.7667,128.7333,89.58,18,11,8.05,few clouds
205,Ketchikan,US,55.3422,-131.6461,57.67,77,90,8.05,overcast clouds
206,Banda Aceh,ID,5.5577,95.3222,84.79,63,100,8.08,overcast clouds
207,Ryotsu,JP,38.0833,138.4333,85.96,68,7,1.21,clear sky
208,Calatayud,ES,41.3535,-1.6432,73.98,66,0,2.44,clear sky
209,Saint-Francois,FR,46.4154,3.9054,63.18,99,90,3.44,fog
210,Moerai,PF,-22.4333,-151.3333,71.24,64,24,7.76,few clouds
211,Henties Bay,NA,-22.116,14.2845,68.09,24,0,17.16,clear sky
212,Victoria,HK,22.2855,114.1577,92.97,78,47,1.01,scattered clouds
213,Thompson,CA,55.7435,-97.8558,59.16,94,75,8.05,mist
214,San Cristobal,VE,7.7669,-72.225,66.65,99,100,3.67,overcast clouds
215,Tashtagol,RU,52.7657,87.8894,72.52,71,81,2.01,broken clouds
216,Bontang,ID,0.1333,117.5,85.12,63,96,6.62,overcast clouds
217,Tual,ID,-5.6667,132.75,80.29,74,96,9.4,overcast clouds
218,Alofi,NU,-19.0595,-169.9187,82.29,74,14,8.05,few clouds
219,Cherskiy,RU,68.75,161.3,57.31,53,66,6.87,broken clouds
220,Bacolod,PH,10.6667,122.95,84.6,77,65,20.49,broken clouds
221,Peniche,PT,39.3558,-9.3811,67.62,93,55,4.97,broken clouds
222,Paamiut,GL,61.994,-49.6678,41.16,85,84,8.23,broken clouds
223,Jalu,LY,29.0331,21.5482,76.06,42,0,7.02,clear sky
224,Olafsvik,IS,64.8945,-23.7142,49.71,78,97,10.63,overcast clouds
225,Ust-Tsilma,RU,65.441,52.1498,46.02,97,100,8.68,overcast clouds
226,Yugorsk,RU,61.3133,63.3319,54.99,51,3,7.76,clear sky
227,Boa Esperanca,BR,-21.09,-45.5658,54.55,53,0,3.51,clear sky
228,Egvekinot,RU,66.3167,-179.1667,50.05,85,100,3.69,overcast clouds
229,Saskylakh,RU,71.9167,114.0833,71.35,56,100,6.55,overcast clouds
230,Pimentel,PE,-6.8367,-79.9342,66.99,82,44,1.99,scattered clouds
231,Rimbey,CA,52.6334,-114.2353,65.32,65,62,7.23,broken clouds
232,Xianyang,CN,34.3378,108.7026,87.04,58,0,6.71,clear sky
233,Serta,PT,39.8085,-8.0988,62.01,87,40,4.43,scattered clouds
234,Kahului,US,20.8947,-156.47,85.26,84,40,24.16,scattered clouds
235,Weihe,CN,32.9952,105.3247,73.36,87,95,4.03,overcast clouds
236,Codrington,AU,-38.2667,141.9667,48.18,82,100,15.39,overcast clouds
237,Mfou,CM,3.7159,11.6427,66.96,91,100,3.96,overcast clouds
